id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
9649084,Zimmer frei in Prenzlauerberg,49886215,Sepulveda,Pankow,Prenzlauer Berg Nordwest,52.55161584097373,13.402002384631007,Private room,30,1,1,2016-01-05,0.03,1,0
9649234,Apartment in Berlin,49862464,Hequn,Mitte,Wedding Zentrum,52.54242727250709,13.359756828885958,Private room,50,2,1,2016-01-03,0.03,1,0
9651871,Über den Dächern Berlins Zentrum,49896804,,Charlottenburg-Wilm.,Düsseldorfer Straße,52.49797795015381,13.334436985012973,Entire home/apt,9000,100,1,2016-01-02,0.03,1,0
9657474,"Chic Berlin. Perfect location, lots of light!",6852562,Ekaterina,Mitte,Brunnenstr. Süd,52.53592483867197,13.399197386272007,Entire home/apt,90,10,23,2018-10-09,0.66,1,24
9658498,Modern 2 Rooms In Friedrichshain Near Ostkreuz,20771289,Marcel,Lichtenberg,Neu Lichtenberg,52.50273817041492,13.478699100663691,Entire home/apt,99,2,4,2017-01-30,0.17,1,0
9659732,Apartment in Berlin,49599577,Sameh,Neukölln,Reuterstraße,52.49092139888111,13.429071405989417,Entire home/apt,45,1,1,2015-12-15,0.03,1,0
9662420,Spacey room (25m²) at Südstern,49938459,Anja,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.49038973211029,13.407292044252166,Private room,20,1,0,,,1,0
9662718,Hübsches Zimmer in Neukölln,13662845,Arabel,Neukölln,Neuköllner Mitte/Zentrum,52.48223873003457,13.42993426572512,Private room,25,2,0,,,1,0
9663247,holiday in berlin,49941234,Katia,Neukölln,Rixdorf,52.47840682188501,13.450983440008168,Private room,39,4,26,2018-09-30,0.75,1,0
9664383,,49945599,Martin,Pankow,Prenzlauer Berg Nordwest,52.55098491767939,13.4048725933932,Private room,22,1,0,,,2,0
9666574,großes Zimmer in 3er WG,49954029,Alina,Treptow - Köpenick,Baumschulenweg,52.46217734927674,13.481177478611349,Private room,19,7,1,2016-03-13,0.03,1,0
9666814,Kastanienallee / Mauerpark 60qm,49955987,Klaus,Mitte,Brunnenstr. Süd,52.53562998643928,13.406025512433828,Entire home/apt,72,3,3,2016-10-03,0.09,1,0
9672036,Huge Kreuzkolln Room,4084976,Michelle,Neukölln,Reuterstraße,52.48482934988934,13.42843321606711,Private room,60,4,0,,,1,0
9672383,Sunny room in Charlottenburg,49980517,Verena,Charlottenburg-Wilm.,Mierendorffplatz,52.524244209433526,13.30279872145766,Private room,82,4,0,,,1,0
9678630,Central room in Mitte with balcony,9786033,Casetta,Mitte,Brunnenstr. Nord,52.53994144558728,13.39030819511665,Private room,43,2,40,2018-08-30,1.15,1,331
9680933,Freies Zimmer in Kreuzkölln!!,50011456,Alysha,Neukölln,Reuterstraße,52.49075760603859,13.43002843383459,Private room,20,1,1,2016-02-22,0.03,1,0
9683475,Kreuzberg Big Double Room .,3122986,Riccardo,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.48731013684865,13.377348499604752,Private room,28,1,5,2018-10-19,3.57,4,256
9686165,"cool,charming apartment in Neukölln",50032593,Irina,Neukölln,Neuköllner Mitte/Zentrum,52.48259255983911,13.42720427645874,Entire home/apt,59,2,9,2018-10-07,0.26,1,2
9686931,City Center Room in Berlin / DZ in der Innenstadt,4952307,Adam,Friedrichshain-Kreuzberg,Karl-Marx-Allee-Nord,52.5206984493976,13.445185041050792,Private room,50,2,11,2018-01-01,0.44,2,305
9687122,Bright room in a simpel Loft,12141370,Simon,Neukölln,Neuköllner Mitte/Zentrum,52.465717730480144,13.433153638793083,Private room,13,5,1,2015-12-30,0.03,3,0
9687837,vintage flat in Friedrichshain,12448133,Elsa,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.51253022212845,13.456332397096697,Entire home/apt,74,2,25,2018-09-01,0.77,1,0
9689519,Fontane Studio | Kreuzberg Südstern,50046135,Betty & Stefan,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.49102058269761,13.406274988631578,Entire home/apt,40,3,131,2018-10-22,3.78,1,52
9690326,Charming Room in Central Berlin,16534223,Tatjana,Pankow,Prenzlauer Berg Nordwest,52.54179299780751,13.409441921279956,Private room,40,5,16,2018-05-08,0.48,1,0
9691424,Habitacion centrica en piso joven.,1264172,Alejandro,Friedrichshain-Kreuzberg,südliche Luisenstadt,52.498263684328805,13.423489591252892,Private room,18,1,2,2015-12-27,0.06,1,0
9692035,W10,50056316,Graf,Mitte,Wedding Zentrum,52.54592009882021,13.370383589121916,Private room,20,1,0,,,2,0
9694278,Large room in Friedrichshain,44108734,Emma,Friedrichshain-Kreuzberg,Frankfurter Allee Nord,52.5243339870663,13.451007450710296,Private room,35,8,0,,,1,0
9695108,Room in amazing Kreuzberg-Neukoln,22358988,Iván,Neukölln,Rixdorf,52.48327267723535,13.442526556760926,Private room,66,3,0,,,1,0
9696421,39qm Altbau Wohnung in Berlin,12288380,Kathrin,Friedrichshain-Kreuzberg,Frankfurter Allee Nord,52.51830742259809,13.468130837224102,Entire home/apt,40,1,0,,,1,0
9702854,Lovely 80m² home in Kreuzberg,9889787,Marcel,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.48825353083858,13.390672942469676,Entire home/apt,58,7,3,2016-05-11,0.09,1,0
9703996,Flat in Berlin super Central!,50107682,Katja,Mitte,Alexanderplatz,52.52419556691176,13.412071560602644,Entire home/apt,100,1,0,,,1,0
9704842,cosy appartement,50110974,Cecilia,Friedrichshain-Kreuzberg,südliche Luisenstadt,52.49500552207392,13.437615435543885,Entire home/apt,26,2,1,2016-01-15,0.03,1,0
9706268,"Bright, modern, top-floor flat",455201,Richard,Neukölln,Reuterstraße,52.490383479709486,13.42753687321579,Entire home/apt,40,1,0,,,1,0
9706730,Quiet and sunny room for 2,13478209,Stephanie,Mitte,Parkviertel,52.54832306589596,13.351909512883054,Private room,18,1,9,2018-01-31,0.8,2,0
9707484,"3 room flat, bright, w/ great views",18149577,Silvia,Neukölln,Reuterstraße,52.4882413127769,13.44269264432775,Private room,44,8,1,2018-01-05,0.1,1,48
9707618,The TUCHOLSKY Loft: Luxus in MITTE!,632174,Stéphanie,Mitte,Alexanderplatz,52.52745880979966,13.39453037362039,Entire home/apt,159,1,227,2018-10-24,6.41,5,306
9707768,Trendy apartment @ heart of Berlin,50122855,Friederike,Mitte,Brunnenstr. Süd,52.53790253476519,13.397302713881428,Entire home/apt,58,2,1,2016-01-03,0.03,1,0
9708953,Huge flat - Eberswalder U2,37011142,Fabio,Pankow,Helmholtzplatz,52.540728140805655,13.42105316882278,Entire home/apt,60,4,1,2016-01-05,0.03,2,0
9709021,Zentral und gemütlich. Eigener Balkon.,40709854,Siham,Friedrichshain-Kreuzberg,Südliche Friedrichstadt,52.50364941440253,13.3901586514843,Private room,50,2,28,2018-09-30,0.92,1,80
9709458,Zentrale Altbauwohnung,1047376,Jul,Pankow,Prenzlauer Berg Ost,52.544463371235125,13.4440539276182,Entire home/apt,50,2,5,2017-02-17,0.14,1,90
9711341,Bright 2 room apartment in Neukölln,218238,Anna,Neukölln,Rixdorf,52.47995033518476,13.43990641902294,Entire home/apt,50,7,2,2017-06-19,0.08,1,0
9712293,Sunny bedroom in a top floor flat,4280465,Claire,Neukölln,Rixdorf,52.48192541669289,13.44395601531967,Private room,20,400,1,2018-01-17,0.1,2,40
9713073,Beautiful Berliner-Zimmer Bedroom,2381022,Aysegül,Pankow,Prenzlauer Berg Süd,52.53433954882625,13.42220437201678,Private room,38,3,44,2018-10-21,1.32,1,352
9719805,Big cosy room in Friedrichshain,1035251,Zuzanna,Friedrichshain-Kreuzberg,Frankfurter Allee Nord,52.52565279654873,13.450605595639985,Private room,55,2,0,,,2,0
9719898,Bathtub Apartment in the area Berlin-Mitte,38650838,No3 Apartments,Mitte,Brunnenstr. Nord,52.53979080098199,13.36979199602784,Entire home/apt,36,30,3,2018-09-29,0.21,5,341
9719907,Corner Apart-near Central Station,38650838,No3 Apartments,Mitte,Brunnenstr. Nord,52.54022387566235,13.37007861511612,Entire home/apt,39,30,0,,,5,288
9721701,Zimmer in modernem Altbau,11324018,Johannes,Pankow,Pankow Süd,52.5550528910228,13.41702709404222,Entire home/apt,30,6,0,,,1,0
9723170,Sunny room in Loft in Neukölln with Balcony,13596553,Philipp,Neukölln,Rixdorf,52.469433480225526,13.444828549594371,Private room,35,3,7,2018-04-02,0.24,1,0
9726557,One room apartment in Neukölln,50197206,Jurgen,Neukölln,Rixdorf,52.47168886905736,13.445035356615158,Entire home/apt,40,2,0,,,1,0
9727199,"Schönes, helles Zimmer im Schöneberger Kiez",50183407,Johann,Tempelhof - Schöneberg,Schöneberg-Nord,52.49034729238776,13.349032366476308,Private room,45,2,9,2018-10-28,0.51,1,88
9727345,Small room for 4 in artsy Friedrichshain,7190946,Jens,Friedrichshain-Kreuzberg,Karl-Marx-Allee-Süd,52.51140028863909,13.445774534237968,Private room,49,1,47,2018-09-22,1.36,3,14
9728503,Cosy Flat in Berlin- Charlottenburg,50203920,Lisa,Charlottenburg-Wilm.,Schloß Charlottenburg,52.51646061548978,13.28804629737997,Private room,50,1,0,,,1,0
9730537,Spacious and central apartment,50211228,Hans,Tempelhof - Schöneberg,Schöneberg-Süd,52.48416341325192,13.362914628145802,Entire home/apt,165,1,1,2016-01-02,0.03,1,0
9731416,Exclusive flat in Berlin CityCentre,50214277,Giuseppe,Mitte,Parkviertel,52.55401312231739,13.348420236704502,Entire home/apt,99,5,0,,,1,0
9731776,Idyllic room in Friedrichshain,50216292,Marie,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.50601657921381,13.467926788478142,Private room,60,2,115,2018-10-26,3.65,1,7
9731937,Chillout-WG-2018,43471647,Thomas,Friedrichshain-Kreuzberg,Frankfurter Allee Nord,52.51997895598269,13.465171634939246,Private room,25,7,46,2018-10-05,1.3,4,288
9732164,Beautifull flat near Kreuzberg,21106941,Eric,Treptow - Köpenick,Alt  Treptow,52.49308053748079,13.4469989939631,Private room,44,5,0,,,1,0
9732185,Modern apartment close to Ku'damm,2587611,Klaus,Charlottenburg-Wilm.,Otto-Suhr-Allee,52.51703316672577,13.318576151140642,Entire home/apt,70,5,0,,,1,0
9734774,Sunny Room in Top Floor Apartment,24757938,Amira,Tempelhof - Schöneberg,Tempelhof,52.46485009401351,13.374482790307823,Private room,13,1,0,,,2,0
9740044,Nice 2-Room-Apartment near Ku'damm!,29849348,Ismail,Charlottenburg-Wilm.,Kantstraße,52.5106170383237,13.303770117169073,Entire home/apt,200,1,1,2016-01-02,0.03,2,0
9741537,Gemütliches Zimmer in schöner WG,50259787,Maren,Neukölln,Neuköllner Mitte/Zentrum,52.482015072928455,13.428437567100698,Private room,14,5,0,,,1,0
9741710,Beautiful Apartment in Berlin,7281305,Inga Liningaan,Pankow,Helmholtzplatz,52.5417307265418,13.42336317193823,Entire home/apt,62,4,5,2016-05-15,0.14,1,0
9742623,Amazing flat in Berlin center!,8387739,Roy,Mitte,Regierungsviertel,52.51079334098104,13.391355139749328,Entire home/apt,60,1,0,,,1,0
9744745,2-bedrooms-apartment-in-Mitte,3953573,Oliver,Pankow,Prenzlauer Berg Südwest,52.529196988688106,13.412363093889292,Entire home/apt,149,2,79,2018-09-21,2.28,2,14
